iter	Passed	Remaining
0	3	3953
1	10	5164
2	18	6100
3	22	5508
4	26	5266
5	29	4918
6	33	4731
7	36	4539
8	41	4532
9	46	4607
10	51	4600
11	55	4546
12	59	4547
13	63	4440
14	68	4508
15	73	4504
16	78	4556
17	84	4584
18	89	4613
19	94	4630
20	99	4625
21	104	4651
22	109	4665
23	115	4680
24	120	4711
25	125	4715
26	130	4714
27	135	4711
28	140	4709
29	145	4714
30	151	4725
31	156	4727
32	159	4681
33	165	4691
34	171	4715
35	175	4706
36	181	4715
37	185	4707
38	191	4719
39	196	4719
40	202	4730
41	207	4728
42	212	4735
43	217	4735
44	222	4727
45	227	4725
46	231	4693
47	236	4686
48	241	4680
49	245	4659
50	250	4664
51	256	4671
52	261	4669
53	266	4675
54	272	4677
55	277	4683
56	281	4651
57	286	4656
58	291	4654
59	297	4659
60	302	4658
61	308	4661
62	314	4670
63	318	4658
64	323	4655
65	327	4641
66	333	4644
67	338	4640
68	343	4634
69	348	4635
70	354	4638
71	359	4634
72	365	4638
73	370	4630
74	375	4626
75	378	4606
76	383	4601
77	388	4596
78	393	4593
79	399	4588
80	404	4585
81	409	4585
82	414	4581
83	420	4584
84	424	4574
85	430	4573
86	435	4574
87	441	4573
88	445	4563
89	451	4563
90	456	4562
91	461	4559
92	466	4551
93	471	4547
94	477	4546
95	482	4541
96	487	4541
97	492	4534
98	498	4535
99	502	4519
100	507	4518
101	512	4514
102	518	4511
103	523	4506
104	528	4501
105	532	4491
106	537	4485
107	542	4482
108	547	4478
109	553	4476
110	558	4471
111	563	4471
112	569	4466
113	574	4465
114	580	4465
115	585	4458
116	589	4449
117	594	4445
118	600	4444
119	605	4439
120	610	4436
121	615	4429
122	621	4429
123	626	4423
124	631	4422
125	636	4416
126	642	4413
127	647	4411
128	652	4407
129	658	4403
130	662	4396
131	667	4390
132	673	4387
133	678	4387
134	684	4384
135	690	4383
136	695	4379
137	700	4376
138	705	4372
139	710	4366
140	716	4363
141	720	4354
142	726	4352
143	731	4347
144	736	4345
145	741	4336
146	747	4336
147	752	4329
148	756	4319
149	761	4313
150	766	4311
151	772	4307
152	776	4300
153	781	4294
154	786	4288
155	791	4284
156	796	4279
157	801	4272
158	806	4265
159	811	4262
160	817	4258
161	822	4252
162	827	4249
163	833	4246
164	837	4238
165	842	4233
166	847	4228
167	853	4225
168	858	4219
169	862	4211
170	868	4211
171	873	4206
172	879	4203
173	884	4196
174	887	4184
175	892	4177
176	897	4174
177	902	4169
178	908	4167
179	913	4162
180	918	4158
181	923	4152
182	928	4147
183	933	4140
184	938	4133
185	943	4127
186	948	4123
187	953	4118
188	958	4114
189	963	4108
190	968	4102
191	973	4096
192	978	4091
193	984	4089
194	989	4084
195	995	4081
196	998	4071
197	1004	4067
198	1009	4062
199	1014	4057
200	1018	4046
201	1023	4041
202	1028	4036
203	1032	4030
204	1038	4026
205	1043	4021
206	1048	4016
207	1053	4011
208	1059	4008
209	1063	4001
210	1069	3997
211	1074	3994
212	1080	3991
213	1085	3988
214	1091	3983
215	1096	3978
216	1101	3974
217	1107	3971
218	1111	3965
219	1116	3960
220	1122	3955
221	1126	3949
222	1132	3944
223	1137	3941
224	1142	3934
225	1147	3930
226	1153	3926
227	1158	3921
228	1163	3916
229	1168	3911
230	1172	3903
231	1177	3898
232	1181	3889
233	1185	3881
234	1190	3875
235	1195	3871
236	1200	3865
237	1205	3859
238	1210	3854
239	1215	3848
240	1220	3842
241	1225	3838
242	1231	3835
243	1236	3830
244	1241	3826
245	1246	3820
246	1251	3816
247	1257	3813
248	1263	3810
249	1268	3804
250	1273	3799
251	1278	3795
252	1283	3788
253	1289	3786
254	1294	3782
255	1300	3778
256	1304	3772
257	1310	3768
258	1315	3763
259	1320	3758
260	1325	3753
261	1330	3748
262	1336	3745
263	1341	3740
264	1347	3737
265	1352	3730
266	1357	3727
267	1363	3723
268	1368	3719
269	1373	3713
270	1378	3708
271	1384	3704
272	1388	3698
273	1393	3691
274	1398	3685
275	1403	3682
276	1408	3675
277	1413	3670
278	1418	3664
279	1423	3659
280	1427	3652
281	1432	3648
282	1437	3641
283	1443	3638
284	1448	3633
285	1454	3630
286	1458	3623
287	1463	3619
288	1468	3613
289	1474	3608
290	1479	3605
291	1484	3599
292	1490	3595
293	1495	3591
294	1500	3585
295	1504	3578
296	1508	3571
297	1513	3565
298	1518	3560
299	1522	3553
300	1527	3547
301	1532	3542
302	1537	3537
303	1542	3531
304	1548	3527
305	1553	3523
306	1559	3519
307	1564	3514
308	1569	3508
309	1573	3502
310	1578	3498
311	1584	3494
312	1589	3489
313	1595	3485
314	1600	3480
315	1606	3477
316	1612	3473
317	1616	3467
318	1621	3460
319	1626	3456
320	1631	3451
321	1636	3445
322	1641	3439
323	1646	3435
324	1652	3431
325	1655	3423
326	1661	3419
327	1666	3414
328	1672	3410
329	1677	3405
330	1682	3400
331	1688	3396
332	1693	3391
333	1697	3384
334	1702	3379
335	1708	3375
336	1712	3369
337	1717	3363
338	1722	3358
339	1727	3353
340	1732	3347
341	1736	3341
342	1741	3336
343	1746	3330
344	1751	3325
345	1756	3320
346	1761	3315
347	1766	3309
348	1771	3304
349	1776	3299
350	1781	3294
351	1787	3290
352	1792	3285
353	1797	3281
354	1803	3276
355	1808	3271
356	1813	3265
357	1818	3260
358	1823	3255
359	1828	3250
360	1834	3246
361	1839	3241
362	1844	3236
363	1850	3232
364	1855	3228
365	1861	3223
366	1866	3218
367	1871	3214
368	1876	3208
369	1881	3203
370	1886	3199
371	1892	3195
372	1896	3188
373	1900	3181
374	1904	3174
375	1910	3170
376	1914	3164
377	1920	3159
378	1925	3154
379	1929	3148
380	1935	3144
381	1940	3139
382	1945	3134
383	1951	3129
384	1956	3124
385	1961	3119
386	1967	3116
387	1971	3109
388	1976	3105
389	1982	3100
390	1988	3096
391	1993	3091
392	1999	3087
393	2004	3082
394	2008	3076
395	2012	3070
396	2017	3064
397	2022	3059
398	2028	3054
399	2032	3049
400	2037	3043
401	2043	3039
402	2047	3033
403	2053	3029
404	2058	3024
405	2064	3020
406	2069	3015
407	2075	3011
408	2080	3006
409	2085	3000
410	2090	2996
411	2095	2990
412	2100	2985
413	2105	2979
414	2110	2975
415	2115	2969
416	2121	2965
417	2125	2959
418	2131	2955
419	2136	2950
420	2141	2945
421	2147	2940
422	2152	2935
423	2157	2931
424	2162	2925
425	2168	2921
426	2172	2915
427	2178	2910
428	2183	2906
429	2189	2901
430	2193	2896
431	2199	2892
432	2204	2886
433	2209	2881
434	2214	2876
435	2219	2871
436	2224	2866
437	2229	2860
438	2235	2856
439	2239	2850
440	2245	2846
441	2249	2840
442	2255	2835
443	2260	2831
444	2266	2826
445	2270	2820
446	2276	2816
447	2281	2811
448	2286	2805
449	2292	2801
450	2296	2795
451	2302	2791
452	2307	2785
453	2312	2781
454	2318	2777
455	2323	2772
456	2328	2766
457	2333	2761
458	2339	2757
459	2344	2752
460	2349	2747
461	2354	2742
462	2360	2737
463	2366	2733
464	2371	2728
465	2376	2723
466	2381	2718
467	2387	2713
468	2391	2707
469	2395	2700
470	2399	2695
471	2405	2691
472	2411	2686
473	2416	2681
474	2421	2676
475	2427	2671
476	2432	2666
477	2437	2662
478	2442	2657
479	2448	2652
480	2453	2647
481	2458	2642
482	2463	2637
483	2468	2631
484	2474	2627
485	2478	2621
486	2484	2616
487	2489	2611
488	2494	2606
489	2500	2602
